172.202.75.66 - - [21/Apr/2026:00:14:55 +0000] "GET /dragonshell.php HTTP/1.1" 500 52 "-" "-" "-"
172.202.75.66 - - [21/Apr/2026:00:14:55 +0000] "GET /f35.php HTTP/1.1" 500 52 "-" "-" "-"
172.202.75.66 - - [21/Apr/2026:00:14:55 +0000] "GET /gg.php HTTP/1.1" 500 52 "-" "-" "-"
172.202.75.66 - - [21/Apr/2026:00:14:56 +0000] "GET /gifclass.php HTTP/1.1" 500 52 "-" "-" "-"
172.202.75.66 - - [21/Apr/2026:00:14:56 +0000] "GET /sql.php HTTP/1.1" 500 52 "-" "-" "-"
172.202.75.66 - - [21/Apr/2026:00:14:56 +0000] "GET /up.php HTTP/1.1" 500 52 "-" "-" "-"
172.202.75.66 - - [21/Apr/2026:00:14:56 +0000] "GET /wp-admin/css/colors/blue/index.php HTTP/1.1" 500 52 "-" "-" "-"
172.202.75.66 - - [21/Apr/2026:00:14:57 +0000] "GET /wp-admin/js/index.php HTTP/1.1" 500 52 "-" "-" "-"
172.202.75.66 - - [21/Apr/2026:00:14:57 +0000] "GET /wp-p2r3q9c8k4.php HTTP/1.1" 500 52 "-" "-" "-"
18.116.101.220 - - [21/Apr/2026:00:32:30 +0000] "\x16\x03\x01\x00{\x01\x00\x00w\x03\x03\xC9\xA6\xF8\xA9\xC7\xB0\x10\xD4\x1E\xE9K\xD0\xB9|\xDA\x83\xFAc\xCB\xF8\xCA\x87:Ge[I\xB4\xC0\x94z`\x00\x00\x1A\xC0/\xC0+\xC0\x11\xC0\x07\xC0\x13\xC0\x09\xC0\x14\xC0" 400 150 "-" "-" "-"
18.116.101.220 - - [21/Apr/2026:00:32:34 +0000] "GET / HTTP/1.1" 200 3330 "-" "visionheight.com/scan Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Chrome/126.0.0.0 Safari/537.36" "-"
18.116.101.220 - - [21/Apr/2026:00:32:35 +0000] "\x16\x03\x01\x00{\x01\x00\x00w\x03\x03\xF5\x12\xE0Mx\xBC\x1D\xE9" 400 150 "-" "-" "-"
18.116.101.220 - - [21/Apr/2026:00:32:41 +0000] "SSH-2.0-Go" 400 150 "-" "-" "-"
18.116.101.220 - - [21/Apr/2026:00:33:20 +0000] "GET / HTTP/1.1" 200 3330 "-" "visionheight.com/scan Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Chrome/126.0.0.0 Safari/537.36" "-"
18.116.101.220 - - [21/Apr/2026:00:35:42 +0000] "" 400 0 "-" "-" "-"
82.26.208.126 - - [21/Apr/2026:00:55:45 +0000] "GET /.env HTTP/1.1" 500 52 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.5845.140 Safari/537.36" "-"
